Program name,Brands,Notes,Official link ,Top search results for reference,Link to partner
Virtuoso,"Over 2000 individual hotels, across well known luxury brands and many independent properties","Consortia for high end luxury travel agents. Prestige in the industry a large range of hotels & resorts, villas, cruises and experiences - rooms get US$100 one time credit, suites get US$200 one time credit and multi-bedroom residences get US$200 per bedroom. Breakfast benefit can be in the restaurant or in-room",https://www.virtuoso.com/,"https://theluxurytraveller.com/virtuoso/, https://onemileatatime.com/guides/virtuoso-hotels-travel-agent/, https://www.foratravel.com/partners/virtuoso",https://www.qxtravel.io/search-hotels
Four Seasons Preferred Partner,"Four Seasons Hotels & Resorts, Four Seasons Yacht, Four Seasons private Jet experiences","For all four seasons hotels & resorts, yachts and private jet experience. Always the same as the price on the FS website but with the partner perks, often with additional exclusive perks like guaranteed upgrade",https://preferredpartners.fourseasons.com (login required),"https://www.liveluxetravelco.com/four-seasons-preferred-partner-list, https://onemileatatime.com/guides/four-seasons-preferred-partner/, https://princeoftravel.com/prince-collection/four-seasons-preferred-partner/",https://www.qxtravel.io/special-programs/preferred-partner
Hilton for Luxury,"Waldorf Astoria, Conrad, LXR, NoMad, Signia by Hilton","Used to be called Hilton Impresario, interesting perk is double HH bonus points, full loyalty program benefits, for North America the breakfast perk is in addition the daily food credit through Gold or higher status. In the rest of the world the breakfast benefit replaces the HH benefit (so you get breakfast for 2, not breakfast for 4),special free night promotions or member rates are available at times. All the hotels of the brands participate. Some hotels may require a 2-night minimum depending depending on region and time of year (Conrad Dubai comes to mind)",https://www.hilton.com/en/portal/travel-agents/hilton-for-luxury/information/,"https://theluxurytraveller.com/hilton-for-luxury/, https://www.liveluxetravelco.com/hilton-for-luxury, https://onemileatatime.com/guides/hilton-for-luxury/",https://www.qxtravel.io/special-programs/impresario
Mandarin Oriental Fan Club,Mandarin Oriental Hotels & Resorts and Mandarin Oriental Exceptional Homes,"For Mandarin Oriental Exceptional Homes, you get a US$500 credit. Suite stays get an enhanced US$200 credit total (US$100 dining and US$100 spa credit), rooms get US$100 total - Mandarin Oriental, Jakarta and Mandarin Oriental, Kuala Lumpur offer a reduced dining credit. Breakfast benefit can be in the restaurant or in-room (room service fees apply)",https://fanclub.mandarinoriental.com/ (login required),"https://www.liveluxetravelco.com/mandarin-oriental-fan-club, https://princeoftravel.com/prince-collection/mandarin-oriental-fan-club/, https://onemileatatime.com/guides/mandarin-oriental-fan-club/",https://www.qxtravel.io/special-programs/fan-club
Couture by Langham,"Langham, Cordis, Eaton and Chelsea Hotel Toronto","Hotel credit varies by property - generally US$50 for 1 night, US$100 for 2 nights, $125 for 3+ nights",https://couture.langhamhotels.com/ (login required),"https://www.liveluxetravelco.com/langham-couture, https://www.foratravel.com/partners/couture-by-langham, https://www.truvi-vs.com/hotels-resorts/couture-by-langham",https://www.qxtravel.io/special-programs/couture
Marriott STARS,"The Ritz-Carlton, St. Regis, The Luxury Collection, Bvlgari, Ritz-Carlton Reserve, Edition, Ritz-Carlton Reserve and the Ritz-Carlton Yacht Collection","Unlike LUMINOUS, all hotels include the hotel credit. Very few require a 2-night minimum stay",https://mi.bookmarriott.com/stars (login required),"https://www.liveluxetravelco.com/marriott-stars, https://theluxurytraveller.com/marriott-stars-luminous/, https://onemileatatime.com/guides/marriott-stars-luminous/",https://www.qxtravel.io/special-programs/marriott-stars
Marriott LUMINOUS,"W Hotels, JW Marriott, Autograph Collection Hotels, Marriott Hotels, Westin, Le Méridien, Renaissance, Tribute Portfolio, Sheraton, Delta Hotels and Gaylord Hotels","Only select (usually full service) properties of the brands participate. The US$100 credit is only offered by some of the hotels. You get all your Marriott Bonvoy benefits in addition - so you can choose points instead of breakfast for Platinum Elite and higher members. Breakfast can just be continental (especially in North America, it’s good to double check - sometimes the hotel also participates in Virtuoso with better benefits)",https://mi.bookmarriott.com/stars (login required),"https://www.liveluxetravelco.com/marriott-luminous, https://www.starsdesk.com/marriott-luminous, https://onemileatatime.com/guides/marriott-stars-luminous/",https://www.qxtravel.io/special-programs/marriott-luminous
The Set by Invitation,Set Collection,"US$200 credit from 4 nights, very select group of hotels around the world, newer program",,"https://avenuetwotravel.com/partner/the-set-by-invitation/, https://ateliervoyage.com/partner-the-set-by-invitation-en/, https://thesuitesojourn.com/partners/the-set-by-invitation/",https://www.qxtravel.io/search-hotels
Shangri-La Luxury Circle,"Shangri-La, Kerry Hotels","Not all hotels (especially in china) participate, includes a guaranteed room upgrade for many categories ",https://luxurycircle.shangri-la.com/en/ (login required),"https://www.liveluxetravelco.com/shangri-la-luxury-circle, https://princeoftravel.com/prince-collection/shangri-la-luxury-circle/, https://onemileatatime.com/guides/shangri-la-luxury-circle/",https://www.qxtravel.io/special-programs/the-luxury-circle
Hyatt Prive,"Park Hyatt, Alila, Mirava, Impression by Secrets, Unbound Collection, Andaz, Thompson, The Standard, StandardX, Bunkhouse Hotels, Zoëtry Wellness & Spa Resorts, Hyatt Ziva, Hyatt Zilara, Secrets Resorts & Spas, Dreams Resorts & Spas, Grand Hyatt, Hyatt Regency, Destination by Hyatt, Hyatt Centric","Not all hotels of the brands participate, some require a 2 night minimum stay, some all inclusive ones require 4+/5+ nights, Hyatt’s upgrades are subject to availability - but they are confirmed shortly after booking depending on projected occupancy",https://www.hyatt.com/info/hyatt-prive,"https://www.liveluxetravelco.com/hyatt-prive, https://onemileatatime.com/guides/hyatt-prive/, https://theluxurytraveller.com/hyatt-prive/",https://www.qxtravel.io/special-programs/hyatt-prive
Rosewood Elite,Rosewood Hotels & Resorts,"Guaranteed upgrade for many of the hotels, many great promotions",https://www.rosewoodhotels.com/en/elite (login required),"https://theluxurytraveller.com/rosewood-elite/, https://onemileatatime.com/guides/rosewood-elite/, https://www.liveluxetravelco.com/rosewood-elite",https://www.qxtravel.io/special-programs/rosewood-elite
Jumeirah Passport to Luxury,Jumeirah Hotels & Resorts ,"Special benefits are included at Burj al Arab (currently under construction) and Marsa al Arab with higher hotel credits and better upgrades. Usually, the benefits can be combined with different meal plans. Airport transfers for suite bookings. 4pm checkout if available as a benefit",https://www.jumeirah.com/en/offers/global-offers/passport-to-luxury,"https://www.theluxurytravelgroup.com/offer/jumeirah-passport-to-luxury, https://theluxurytraveller.com/jumeirah-passport/, https://www.headforpoints.com/2024/03/19/jumeirah-passport-to-luxury/",https://www.qxtravel.io/special-programs/passport-to-luxury
Kempinski Club 1897,Kempinski Hotels & Resorts,"Some hotels only offer a US$50 credit, most of them have a US$100 credit",,"https://www.liveluxetravelco.com/kempinski-club-1897, https://www.foratravel.com/partners/club-1897, https://www.starsdesk.com/kempinski-club-1897",https://www.qxtravel.io/special-programs/club-1897-kempinski
Peninsula PenClub,Peninsula Hotels & Resort,"PenClub and guaranteed upgrades are the standout, if the room isn’t ready they will place you in a hospitality room, there are some specific rules of the upgrades and hotel credit depending on the region",https://www.peninsula.com/en/penclub,"https://www.liveluxetravelco.com/the-peninsula-pen-club, https://www.foratravel.com/partners/the-peninsula-penclub, https://onemileatatime.com/guides/peninsula-penclub/",https://www.qxtravel.io/special-programs/peninsula-penclub
Rocco Forte Knights,"Rocco Forte Hotels & Resorts, Rocco Forte Private Villas","US$100 hotel credit fro rooms, US$200 for suites (2-night minimum), US$200 credit for Rocco Forte House, US$250 credit for Rocco Forte Private Villas, 20% off spa services (excluding Hotel Savoy, Hotel Amigo, and Hotel Astoria)",https://www.roccoforteknights.com/ (login required),"https://princeoftravel.com/prince-collection/rocco-forte-knights/, https://www.thetravelmaestro.com/roccoforte-sir-rocco-knights, https://menziesluxeretreats.com/rocco-forte-knights",https://www.qxtravel.io/special-programs/sir-roccos-knights
Belmond Bellini Club,"Belmond Hotels & Resorts, Trains, boats and safaris","Hotel credit for hotels & safari: US$90 for rooms and US$200 for suites; trains & cruises: US$100/person per journey, US$45/person for day trips",https://www.belmondpro.com/my-account (login required),"https://theluxurytraveller.com/belmond-bellini-club/, https://www.liveluxetravelco.com/belmond-bellini-club, https://onemileatatime.com/guides/belmond-bellini-club/",https://www.qxtravel.io/special-programs/bellini-club
Dorchester Diamond Club,Dorchester Collection,"Truly flexible hotel credit (will be deducted from the total bill at the end) and it the local currency - so in the UK its £100, in Europe its 100€ and the US $100. Rooms get a guaranteed room upgrade. One-bedroom suites and higher get airport transfers and 100 credit per day (no upgrades). Breakfast can be in the restaurant or through in-room dining. They will always give the upgrade.",https://www.dcdiamondclub.com/ (login required),"https://www.foratravel.com/partners/dorchester-diamond-club, https://www.panacheworld.com/diamond-club-by-dorchester-hotels/, https://www.liveluxetravelco.com/dorchester-diamond-club",https://www.qxtravel.io/special-programs/diamond-club
Oetker Pearl Partner,Oetker Collection,"US$100 credit fro 1 night, US$200 for 2+ nights - depending on the hotel it is either for F&B or the Spa or both. Guaranteed upgrades need to be confirmed after booking and are subject to availability",,"https://www.liveluxetravelco.com/oetker-collection-pearl-partner, https://www.foratravel.com/partners/oetker-pearl, https://onemileatatime.com/guides/oetker-collection-pearl-partner/",https://www.qxtravel.io/special-programs/pearl-partner
Anantara Journeys,Anantara Hotels & Resorts,No breakfast. Can be combined with almost all rates. Instead includes a special Anantara Journeys amenity which is unique to each property,https://www.anantarajourneys.com/en/login (login required),"https://theluxurytraveller.com/anantara-journeys/, https://www.intriqjourney.com/partner/anantara-journeys/, https://www.panacheworld.com/journeys-by-anantara/",https://www.qxtravel.io/search-hotels
